task,shift_type,holdout,repeat,policy,epsilon,retained_mae,mae_ci_low,mae_ci_high,violation_ci_low,violation_ci_high,n_retained,n_groups_retained
log_kvrh,element,O,2,rf_distance_hybrid,0.15,0.2463466251070996,0.23711375589548309,0.2563172444725037,0.08711375589548309,0.10631724447250371,2152,1713
log_kvrh,element,O,2,rf_ensemble_std,0.15,0.24645069610556355,0.23896495399430326,0.25517971522338634,0.08896495399430326,0.10517971522338634,2147,1710
log_kvrh,element,O,3,descriptor_distance,0.15,0.24970458883326072,0.2407150351753864,0.2604243975951813,0.0907150351753864,0.11042439759518133,2152,1713
log_kvrh,element,O,3,quantile_width,0.15,0.2687759264614185,0.2579595250160487,0.2772923757905135,0.10795952501604869,0.12729237579051353,2152,1713
log_kvrh,element,O,3,rf_distance_hybrid,0.15,0.24970458883326072,0.24047553668000007,0.25906715850975054,0.09047553668000008,0.10906715850975054,2152,1713
log_kvrh,element,O,3,rf_ensemble_std,0.15,0.24949090356339085,0.23891349719608665,0.25770018195827554,0.08891349719608665,0.10770018195827555,2142,1705
log_kvrh,element,O,4,descriptor_distance,0.15,0.24155639594432707,0.23257922881802784,0.250608650657212,0.08257922881802784,0.100608650657212,2152,1713
log_kvrh,element,O,4,quantile_width,0.15,0.2653464941588809,0.2583497114770096,0.273130272484458,0.10834971147700959,0.12313027248445799,2152,1713
log_kvrh,element,O,4,rf_distance_hybrid,0.15,0.24155639594432707,0.23343903352084674,0.25140126394660517,0.08343903352084675,0.10140126394660517,2152,1713
log_kvrh,element,O,4,rf_ensemble_std,0.15,0.24155639594432707,0.233324439674419,0.25011469356704513,0.08332443967441899,0.10011469356704514,2152,1713
log_kvrh,element,O,5,descriptor_distance,0.15,0.24502876395105055,0.23504602206327177,0.25380269371753644,0.08504602206327178,0.10380269371753645,2152,1713
log_kvrh,element,O,5,quantile_width,0.15,0.2697593342571794,0.2605441289506788,0.2785485084615124,0.1105441289506788,0.12854850846151242,2152,1713
log_kvrh,element,O,5,rf_distance_hybrid,0.15,0.24502876395105055,0.23539441272385622,0.2548241223949529,0.08539441272385623,0.1048241223949529,2152,1713
log_kvrh,element,O,5,rf_ensemble_std,0.15,0.24502876395105055,0.23543375656678955,0.25455321702624567,0.08543375656678956,0.10455321702624568,2152,1713
log_kvrh,element,O,6,descriptor_distance,0.15,0.24814296050430185,0.24080379419432693,0.2576441805712128,0.09080379419432694,0.1076441805712128,2152,1713
log_kvrh,element,O,6,quantile_width,0.15,0.265561241298978,0.2568446219939814,0.27378079683649675,0.1068446219939814,0.12378079683649676,2152,1713
log_kvrh,element,O,6,rf_distance_hybrid,0.15,0.24784928511266918,0.23912946968986945,0.25826138717181424,0.08912946968986946,0.10826138717181424,2149,1710
log_kvrh,element,O,6,rf_ensemble_std,0.15,0.24807935472262568,0.24003834847515576,0.25800447703321716,0.09003834847515577,0.10800447703321717,2151,1712
log_kvrh,element,O,7,descriptor_distance,0.15,0.24644481740262336,0.2358944670083609,0.2555417963568191,0.0858944670083609,0.10554179635681912,2152,1713
